temperature,humidity,hour,is_holiday,demand
27.1,60.7,12,0,9628.0
24.4,39.5,13,1,8698.0
9.6,75.9,14,0,10415.0
24.8,61.2,15,0,10597.0
25.5,33.5,16,0,10299.0
44.7,55.5,17,0,12512.0
23.5,66.9,18,0,10048.0
27.4,55.0,19,0,9212.0
24.7,55.9,20,0,8418.0
15.7,41.6,21,0,8295.0
34.1,68.5,22,0,8001.0
31.0,50.3,23,0,6553.0
31.3,27.7,0,0,6956.0
17.7,54.4,1,0,6104.0
36.2,74.7,2,0,6998.0
13.8,54.2,3,0,5340.0
29.7,86.1,4,1,4424.0
42.5,66.4,5,0,8044.0
17.1,65.1,6,0,6195.0
20.5,58.1,7,0,7082.0
25.8,59.0,8,0,7170.0
21.0,56.0,9,0,8063.0
12.6,55.5,10,0,8860.0
25.5,68.0,11,0,9276.0
16.5,46.0,12,0,9945.0
28.8,43.9,13,0,10310.0
17.6,43.2,14,0,10404.0
37.4,90.7,15,0,11883.0
18.7,68.0,16,0,10441.0
22.4,64.6,17,0,10001.0
31.5,44.1,18,0,9963.0
15.2,69.4,19,0,9391.0
26.8,58.3,20,0,8854.0
35.5,63.2,21,0,9169.0
12.1,45.4,22,1,5769.0
26.5,62.4,23,0,6488.0
27.1,53.6,0,0,6320.0
31.3,48.5,1,0,6140.0
15.1,71.0,2,0,5384.0
14.4,36.9,3,0,5596.0
29.2,68.5,4,0,5705.0
27.4,70.3,5,0,5991.0
27.0,46.8,6,0,6271.0
27.8,47.7,7,0,6679.0
19.6,56.7,8,0,7038.0
26.9,64.2,9,0,7829.0
27.3,57.7,10,0,8458.0
19.3,66.5,11,0,8955.0
39.9,86.4,12,0,11420.0
28.8,52.4,13,0,9968.0
15.5,34.3,14,0,10285.0
30.3,72.4,15,0,10786.0
17.2,85.2,16,0,10153.0
31.3,65.9,17,0,10658.0
34.3,43.7,18,0,10365.0
18.4,58.1,19,1,7478.0
32.7,43.2,20,0,9305.0
28.3,69.6,21,0,8183.0
31.6,39.7,22,0,8089.0
40.2,55.5,23,0,8949.0
23.0,44.9,0,0,6228.0
19.0,61.9,1,0,5896.0
17.9,54.5,2,0,5475.0
18.5,62.7,3,0,5349.0
24.4,60.3,4,0,5727.0
27.7,45.2,5,0,5766.0
27.2,69.4,6,1,5049.0
31.6,59.3,7,0,7050.0
25.1,45.2,8,0,7476.0
36.6,93.6,9,0,9093.0
22.9,67.1,10,0,8457.0
46.8,57.7,11,0,12122.0
30.0,81.2,12,0,9863.0
18.1,87.6,13,0,9975.0
16.4,57.8,14,0,10156.0
28.9,65.2,15,0,10886.0
23.2,45.2,16,0,10195.0
30.7,57.8,17,1,8996.0
28.8,57.0,18,0,9775.0
24.4,62.8,19,0,9244.0
18.2,65.0,20,0,8498.0
12.9,68.4,21,0,7960.0
21.4,63.6,22,1,5958.0
31.9,41.8,23,0,7205.0
26.7,45.9,0,0,6521.0
15.0,51.8,1,1,4659.0
26.4,55.8,2,0,5803.0
28.1,75.8,3,0,5626.0
17.9,42.6,4,0,5084.0
26.2,54.6,5,0,6006.0
25.5,74.3,6,0,6225.0
15.9,55.5,7,0,6751.0
27.9,66.9,8,0,6999.0
29.5,57.9,9,0,8322.0
33.7,63.9,10,0,9181.0
33.4,56.6,11,0,10038.0
14.0,70.0,12,0,9878.0
17.5,36.8,13,0,9985.0
29.1,54.6,14,0,10729.0
29.1,64.4,15,0,10417.0
29.1,68.0,16,0,10606.0
55.8,82.4,17,0,13991.0
29.6,54.1,18,0,10138.0
34.1,82.2,19,0,10288.0
32.6,50.1,20,0,9410.0
30.2,79.9,21,0,8253.0
22.5,72.3,22,0,7098.0
31.1,46.3,23,0,7183.0
18.8,64.6,0,0,6525.0
23.1,59.2,1,0,5948.0
21.1,69.4,2,0,5371.0
25.7,56.7,3,0,5375.0
43.5,55.4,4,0,8260.0
10.1,80.5,5,0,6019.0
30.5,58.5,6,0,6430.0
12.1,72.4,7,1,4947.0
21.2,56.6,8,0,7254.0
33.7,85.0,9,0,8486.0
25.5,49.8,10,0,8590.0
16.4,50.8,11,0,9690.0
19.3,82.9,12,0,9378.0
30.4,53.3,13,0,10407.0
19.2,84.0,14,0,10581.0
26.7,73.4,15,0,10550.0
25.4,57.7,16,0,10288.0
19.8,32.8,17,0,10049.0
42.2,59.7,18,0,11589.0
30.1,61.5,19,0,9457.0
8.8,77.5,20,0,8670.0
26.5,83.8,21,0,8221.0
19.7,49.7,22,1,5755.0
31.8,72.0,23,0,7335.0
18.7,71.5,0,0,6113.0
24.1,76.1,1,0,5967.0
29.0,67.5,2,0,5995.0
31.9,30.9,3,0,6315.0
15.4,57.7,4,0,5448.0
22.3,42.7,5,0,5951.0
21.2,57.0,6,0,6167.0
19.8,74.7,7,0,7002.0
39.1,64.6,8,0,9015.0
28.2,77.2,9,0,7732.0
14.9,65.1,10,0,8577.0
32.3,40.5,11,0,9943.0
42.0,22.2,12,0,11842.0
33.3,62.2,13,0,10765.0
12.8,56.8,14,0,10201.0
21.1,45.3,15,0,10202.0
35.1,34.5,16,0,11310.0
19.3,49.0,17,0,9907.0
28.6,57.1,18,0,9974.0
31.2,70.0,19,0,9499.0
17.6,62.8,20,0,8646.0
24.5,84.1,21,0,8011.0
-0.9,44.5,22,0,7568.0
16.8,73.2,23,0,7018.0
23.0,60.7,0,0,6442.0
15.0,70.4,1,0,5992.0
38.1,53.5,2,0,6981.0
13.6,76.1,3,0,5386.0
21.5,64.4,4,0,5513.0
26.0,49.8,5,0,6072.0
36.5,59.8,6,0,7597.0
13.5,56.4,7,0,6974.0
34.3,67.3,8,0,8525.0
25.1,42.3,9,0,7855.0
17.1,59.6,10,0,8628.0
28.7,65.9,11,0,9302.0
26.6,60.5,12,0,9631.0
20.2,80.2,13,0,9971.0
25.6,71.6,14,0,10555.0
21.9,59.9,15,0,10410.0
25.9,63.3,16,0,10321.0
30.3,64.4,17,0,10262.0
37.7,66.0,18,0,11285.0
15.1,32.6,19,0,8999.0
42.1,55.5,20,0,10822.0
9.4,37.7,21,0,8096.0
23.8,79.2,22,0,7296.0
29.7,59.1,23,0,7120.0
27.2,57.1,0,0,6340.0
20.0,73.5,1,0,5914.0
23.3,66.3,2,0,5684.0
21.1,43.1,3,0,5612.0
20.3,58.9,4,0,5708.0
31.8,55.0,5,0,6503.0
27.9,33.8,6,0,6082.0
19.5,49.6,7,0,6770.0
32.2,57.2,8,0,8061.0
27.5,58.3,9,1,6519.0
31.5,37.8,10,0,9337.0
30.0,77.3,11,0,9630.0
18.4,58.5,12,0,9523.0
20.5,60.6,13,0,10045.0
31.0,66.0,14,0,10703.0
29.9,48.2,15,0,10682.0
24.8,66.8,16,0,10318.0
25.9,54.5,17,0,10201.0
35.2,46.6,18,0,10816.0
20.3,68.6,19,0,9446.0
29.4,82.4,20,0,8876.0
23.4,70.9,21,0,7834.0
23.3,73.8,22,0,7285.0
33.8,52.2,23,0,7789.0
31.6,36.0,0,0,6521.0
31.5,82.4,1,0,6179.0
35.4,90.8,2,0,6800.0
25.2,83.1,3,1,4290.0
30.5,55.0,4,0,6312.0
22.5,42.7,5,1,4378.0
27.6,44.0,6,0,6515.0
24.0,34.7,7,0,6814.0
25.8,58.4,8,0,7073.0
29.8,84.1,9,0,8263.0
18.5,57.9,10,0,8497.0
41.7,64.5,11,0,11445.0
17.0,80.6,12,0,9692.0
15.3,53.9,13,0,9823.0
34.3,90.5,14,0,10958.0
31.3,89.9,15,1,9396.0
30.0,58.0,16,0,10133.0
30.0,51.3,17,0,10279.0
24.9,70.5,18,0,9743.0
17.8,54.8,19,1,7489.0
25.6,42.7,20,0,8820.0
19.6,79.2,21,1,6738.0
32.8,78.2,22,0,7896.0
23.8,62.3,23,0,6740.0
18.4,41.1,0,0,6502.0
22.4,41.6,1,0,5921.0
28.3,61.6,2,0,5448.0
20.5,52.5,3,0,5571.0
18.4,54.9,4,0,5511.0
26.9,75.3,5,0,6143.0
27.0,71.0,6,0,6424.0
20.9,80.7,7,0,6737.0
21.2,45.1,8,0,7407.0
26.9,54.9,9,0,7738.0
13.4,71.4,10,0,8470.0
13.7,66.7,11,0,9511.0
19.3,83.0,12,0,9708.0
23.3,66.3,13,0,10264.0
27.5,87.7,14,0,10365.0
36.8,68.1,15,0,11983.0
31.9,75.9,16,0,10498.0
23.7,55.1,17,0,10041.0
24.8,60.2,18,0,10026.0
17.0,73.7,19,0,9391.0
24.9,84.2,20,0,8886.0
22.7,70.9,21,0,7999.0
27.6,58.8,22,1,5771.0
18.4,80.7,23,0,6595.0
29.2,27.1,0,0,6257.0
37.3,38.7,1,0,7472.0
24.1,70.2,2,0,5784.0
28.2,60.2,3,0,5619.0
30.5,69.1,4,0,6162.0
21.8,61.0,5,0,5950.0
26.8,68.6,6,0,6495.0
25.1,47.8,7,0,6991.0
25.8,68.6,8,0,7166.0
18.8,74.9,9,0,8055.0
25.2,78.3,10,0,8287.0
29.0,90.2,11,0,9374.0
36.6,63.7,12,1,9609.0
32.7,64.1,13,0,10517.0
42.2,37.2,14,0,12369.0
18.9,52.0,15,0,10402.0
32.0,57.1,16,0,10962.0
26.5,75.8,17,0,10023.0
42.5,50.8,18,0,11640.0
18.5,71.9,19,0,9189.0
18.3,60.0,20,0,8291.0
20.2,57.3,21,0,7953.0
8.0,63.7,22,0,7291.0
20.8,54.1,23,0,6773.0
18.9,53.6,0,0,6191.0
26.2,34.4,1,0,5620.0
27.7,56.3,2,1,4109.0
40.0,52.8,3,0,7588.0
32.6,52.3,4,0,6625.0
20.4,66.3,5,0,6409.0
17.8,69.9,6,0,6641.0
28.9,63.5,7,0,6701.0
14.4,74.9,8,0,7297.0
39.7,68.6,9,0,9743.0
34.4,55.6,10,0,9569.0
21.2,53.1,11,0,9214.0
11.3,64.7,12,1,8679.0
35.8,68.6,13,0,11037.0
24.1,81.0,14,0,10176.0
34.9,77.9,15,0,11764.0
12.2,51.9,16,0,10195.0
20.2,58.5,17,0,10157.0
25.0,70.1,18,0,9904.0
25.4,76.0,19,0,9297.0
21.4,74.1,20,0,8660.0
30.0,59.0,21,0,8485.0
16.5,41.2,22,0,7200.0
23.9,45.0,23,0,6701.0
26.0,64.1,0,0,6410.0
29.1,65.1,1,0,5675.0
30.7,43.5,2,0,6369.0
16.0,60.7,3,0,5661.0
12.7,69.5,4,0,5712.0
35.2,42.7,5,0,6679.0
27.7,76.6,6,0,6046.0
19.0,54.3,7,0,6720.0
37.4,78.9,8,0,8952.0
25.9,52.0,9,1,6085.0
34.4,44.6,10,0,9744.0
25.5,53.1,11,0,9128.0
41.5,58.6,12,0,11675.0
39.0,54.2,13,0,11786.0
23.0,56.8,14,0,10372.0
32.8,65.0,15,0,10973.0
30.2,57.4,16,0,10768.0
35.9,59.0,17,0,10807.0
17.3,34.4,18,0,9607.0
30.5,65.9,19,0,9604.0
33.5,58.7,20,0,9372.0
10.9,84.2,21,1,6135.0
15.5,45.9,22,0,7530.0
8.7,32.9,23,0,6550.0
22.8,69.3,0,0,6289.0
30.7,65.2,1,0,6363.0
37.0,44.9,2,0,7039.0
25.6,37.1,3,0,5834.0
38.0,83.1,4,0,7175.0
14.0,81.2,5,0,6007.0
11.4,22.7,6,0,6292.0
24.6,53.1,7,0,6923.0
28.1,85.0,8,0,7668.0
24.7,52.9,9,0,8028.0
8.5,52.6,10,0,8778.0
24.3,55.8,11,0,9491.0
14.6,43.2,12,0,9968.0
30.4,34.4,13,0,10355.0
27.9,75.8,14,0,10526.0
17.5,32.4,15,0,10450.0
20.9,63.7,16,0,10542.0
16.5,73.3,17,0,10192.0
24.5,38.2,18,0,9752.0
32.6,46.1,19,0,9983.0
17.1,78.2,20,0,8672.0
29.0,68.0,21,0,8214.0
20.8,50.7,22,0,7347.0
18.7,78.0,23,0,6750.0
24.1,78.1,0,0,6656.0
16.7,64.0,1,0,6017.0
20.6,46.5,2,0,5567.0
15.4,53.8,3,0,5545.0
40.7,64.3,4,0,7801.0
25.3,57.2,5,0,5774.0
19.4,74.1,6,0,6007.0
26.7,37.1,7,0,6518.0
24.1,37.6,8,0,7033.0
23.2,62.7,9,0,7740.0
29.9,52.6,10,0,8672.0
31.1,50.6,11,0,9936.0
20.8,33.5,12,0,9688.0
20.4,60.3,13,0,10006.0
22.8,59.2,14,0,10030.0
6.6,69.8,15,0,10371.0
12.9,61.0,16,0,9971.0
35.9,58.0,17,0,11195.0
38.2,77.7,18,0,11634.0
23.0,40.3,19,0,9333.0
29.6,68.0,20,0,8821.0
27.5,34.9,21,0,8140.0
49.6,47.4,22,0,10519.0
34.0,41.8,23,0,7533.0
24.0,71.7,0,1,5144.0
17.4,59.0,1,0,5693.0
12.1,59.8,2,0,5611.0
26.6,43.4,3,1,4161.0
18.9,55.5,4,0,5495.0
13.6,48.5,5,0,6052.0
19.8,65.8,6,0,6242.0
16.3,45.1,7,0,6933.0
38.5,79.9,8,0,9071.0
32.1,34.9,9,0,8559.0
24.9,47.9,10,0,8963.0
36.8,85.2,11,0,10393.0
25.6,53.5,12,0,9967.0
18.1,40.3,13,0,10313.0
37.2,63.3,14,0,12050.0
29.3,52.9,15,0,10632.0
16.7,47.5,16,0,10161.0
23.5,43.6,17,0,10494.0
18.0,100.0,18,0,9630.0
13.9,56.2,19,0,9037.0
32.4,31.1,20,0,9245.0
40.3,82.4,21,0,9645.0
13.8,69.2,22,0,7484.0
29.5,48.5,23,0,6904.0
19.8,46.0,0,0,6245.0
21.1,70.1,1,0,6115.0
20.3,56.3,2,0,5807.0
18.1,31.1,3,0,5603.0
25.4,86.8,4,0,5716.0
18.4,53.5,5,0,5924.0
27.2,82.4,6,0,6217.0
24.6,79.2,7,0,6799.0
23.1,45.0,8,0,7477.0
17.7,75.5,9,0,7975.0
20.4,50.2,10,0,8705.0
31.0,32.0,11,0,9489.0
29.0,53.6,12,0,9727.0
17.2,66.0,13,0,9932.0
25.8,53.1,14,0,10205.0
31.0,55.4,15,0,11109.0
11.6,77.2,16,0,10463.0
29.3,61.6,17,0,10065.0
19.7,47.4,18,0,9785.0
29.6,70.5,19,0,9357.0
18.9,63.0,20,0,8485.0
10.6,22.2,21,0,7703.0
12.0,66.4,22,0,7573.0
25.4,65.9,23,0,6527.0
27.1,60.3,0,0,6293.0
17.8,73.4,1,0,5732.0
30.1,49.9,2,0,6153.0
11.7,65.0,3,0,5533.0
24.5,36.5,4,0,5655.0
15.3,66.1,5,0,5901.0
19.8,89.3,6,0,6363.0
25.4,45.1,7,0,6803.0
18.1,48.6,8,0,7370.0
21.9,49.3,9,0,7896.0
33.1,61.9,10,0,9064.0
20.4,44.1,11,0,8976.0
31.7,66.3,12,0,10394.0
16.0,72.7,13,0,10017.0
29.2,68.0,14,0,10371.0
36.5,33.5,15,0,11399.0
5.2,74.9,16,0,9974.0
18.6,74.1,17,0,9938.0
29.6,72.5,18,0,10117.0
23.4,65.6,19,0,9089.0
28.0,63.3,20,0,8701.0
20.2,75.5,21,0,7879.0
25.7,88.9,22,0,7507.0
23.8,45.7,23,0,6730.0
34.3,76.2,0,0,7008.0
27.0,58.7,1,0,5868.0
27.7,58.1,2,0,6049.0
21.7,37.0,3,0,5958.0
21.1,55.7,4,0,5779.0
21.5,45.0,5,0,5894.0
28.2,53.0,6,0,6387.0
21.6,43.5,7,0,6863.0
27.3,53.3,8,0,7371.0
41.6,53.9,9,0,10129.0
32.0,61.5,10,0,9258.0
22.4,35.8,11,0,9137.0
34.6,38.3,12,0,10449.0
21.7,65.4,13,0,9986.0
8.7,48.0,14,1,8978.0
16.9,76.1,15,0,10394.0
10.0,63.4,16,0,10378.0
22.2,69.1,17,0,10022.0
25.1,81.2,18,0,9485.0
38.4,55.4,19,0,10714.0
27.6,51.4,20,0,8417.0
23.2,73.1,21,0,7783.0
31.6,67.6,22,0,8165.0
7.3,57.2,23,0,6716.0
26.9,80.9,0,0,6155.0
31.2,56.8,1,0,6720.0
13.2,60.5,2,0,5845.0
34.2,60.3,3,0,6448.0
27.7,46.0,4,0,5767.0
21.7,61.2,5,0,5874.0
30.1,81.0,6,0,6474.0
43.2,66.7,7,0,9170.0
26.5,60.5,8,0,7314.0
27.0,57.6,9,0,8015.0
21.3,65.0,10,0,8825.0
18.2,71.2,11,0,9382.0
31.6,69.1,12,0,10133.0
18.2,55.0,13,0,10176.0
25.6,64.9,14,0,10093.0
21.2,67.2,15,0,10490.0
28.8,44.9,16,0,10473.0
27.7,62.5,17,0,10154.0
33.3,27.6,18,0,10433.0
20.9,67.2,19,0,9617.0
22.8,69.9,20,0,8441.0
17.2,71.2,21,0,8194.0
21.4,54.1,22,0,7172.0
28.0,64.6,23,0,6904.0
31.1,81.4,0,0,6876.0
17.6,81.2,1,0,5933.0
32.0,59.6,2,0,6176.0
35.8,62.1,3,0,6805.0
28.3,76.7,4,0,5781.0
40.0,37.5,5,1,6582.0
18.8,55.2,6,0,6128.0
15.0,80.0,7,0,6689.0
10.8,74.6,8,0,7436.0
37.0,65.5,9,0,9294.0
30.2,37.4,10,1,7436.0
24.6,59.3,11,0,9414.0
27.2,51.2,12,0,9133.0
16.0,65.0,13,0,9959.0
44.6,47.9,14,0,12455.0
26.0,44.6,15,0,10161.0
25.9,29.0,16,0,10799.0
30.8,78.3,17,0,10619.0
28.8,54.0,18,0,10015.0
26.8,62.4,19,0,9184.0
18.7,60.0,20,0,8773.0
28.8,44.0,21,0,7762.0
40.1,41.1,22,0,9395.0
35.8,44.9,23,0,7801.0
37.7,49.2,0,0,7659.0
20.9,65.5,1,0,6023.0
17.1,48.1,2,0,5745.0
24.0,86.2,3,0,5617.0
25.4,75.4,4,0,5409.0
33.8,72.1,5,1,5305.0
11.5,58.2,6,0,6495.0
37.2,82.7,7,0,8079.0
23.7,56.7,8,0,7642.0
21.6,59.5,9,0,7825.0
16.9,62.5,10,0,8622.0
11.8,70.5,11,0,9507.0
31.6,69.6,12,0,10099.0
25.6,52.9,13,0,10289.0
14.7,52.0,14,0,10713.0
14.6,69.6,15,0,10434.0
22.3,70.7,16,0,10213.0
38.4,54.1,17,0,11477.0
22.9,36.2,18,1,8458.0
13.0,56.9,19,0,9455.0
23.0,69.4,20,0,8911.0
22.8,87.1,21,0,7993.0
3.4,42.0,22,0,7586.0
24.6,53.6,23,0,6790.0
23.2,54.2,0,0,6126.0
30.6,80.3,1,0,6532.0
39.8,59.5,2,0,7777.0
34.0,46.4,3,0,6298.0
22.8,68.4,4,0,5474.0
16.1,53.9,5,0,5930.0
45.6,41.6,6,0,9132.0
25.5,46.6,7,0,6573.0
25.1,86.0,8,0,7424.0
24.8,65.8,9,0,7882.0
26.6,61.6,10,0,8761.0
23.8,56.3,11,0,9040.0
20.4,64.4,12,0,9851.0
20.6,64.2,13,0,10047.0
24.7,64.4,14,0,10131.0
20.7,61.7,15,0,10413.0
19.3,73.0,16,0,9931.0
25.9,60.3,17,0,9967.0
23.0,45.3,18,0,9765.0
37.0,50.8,19,0,10200.0
3.8,30.3,20,0,8107.0
33.7,90.4,21,0,8392.0
35.0,72.9,22,0,8690.0
8.4,47.5,23,0,6785.0
22.3,55.8,0,0,6196.0
22.0,50.4,1,0,6111.0
13.7,83.1,2,0,5601.0
18.8,38.7,3,0,5654.0
16.1,61.7,4,0,5687.0
39.0,58.4,5,0,7480.0
32.5,72.4,6,0,7035.0
35.2,58.4,7,0,8031.0
30.8,33.6,8,0,7758.0
16.0,56.2,9,0,7908.0
20.8,45.4,10,0,8553.0
28.9,61.2,11,0,8878.0
15.2,81.5,12,0,9754.0
30.7,33.9,13,0,10242.0
23.1,48.0,14,0,10444.0
22.0,51.7,15,1,8882.0
30.7,54.3,16,0,10742.0
28.6,71.1,17,0,10302.0
22.1,57.4,18,0,9512.0
34.3,66.2,19,0,10215.0
16.4,50.6,20,0,8675.0
29.9,63.4,21,0,8252.0
29.7,71.7,22,0,7455.0
22.5,49.0,23,0,6919.0
27.6,71.7,0,0,6444.0
15.0,60.8,1,0,5944.0
32.4,75.7,2,0,6127.0
23.5,57.0,3,0,5495.0
20.8,65.7,4,0,5670.0
33.4,59.4,5,1,5368.0
19.4,58.6,6,0,5986.0
13.7,63.9,7,0,6687.0
12.5,68.1,8,0,7298.0
29.8,41.3,9,0,8261.0
14.8,81.5,10,0,8361.0
39.0,32.1,11,0,10812.0
8.3,49.7,12,0,9635.0
38.6,58.6,13,0,11457.0
26.7,66.2,14,0,10295.0
24.2,83.6,15,0,10292.0
20.6,32.1,16,0,10417.0
28.2,52.4,17,0,9930.0
24.7,28.1,18,0,9715.0
33.8,60.5,19,0,9912.0
25.9,64.1,20,0,8501.0
26.2,83.9,21,0,8059.0
22.1,61.8,22,0,7426.0
24.5,75.7,23,0,6717.0
27.5,68.8,0,0,6249.0
11.3,53.5,1,0,5631.0
14.2,38.9,2,0,5962.0
30.9,64.1,3,0,6179.0
26.4,37.6,4,0,5812.0
23.5,79.4,5,0,5603.0
25.1,57.6,6,0,6184.0
27.8,77.9,7,0,6733.0
20.7,52.8,8,0,6993.0
18.8,64.0,9,0,8178.0
26.6,63.1,10,0,8912.0
17.2,59.3,11,0,9612.0
28.3,53.5,12,0,9528.0
11.4,65.9,13,0,10102.0
33.2,46.1,14,0,11368.0
28.8,41.9,15,0,10466.0
27.0,78.6,16,1,8705.0
32.9,70.9,17,0,10434.0
38.3,61.0,18,0,11472.0
33.1,85.0,19,0,9963.0
10.3,56.0,20,0,8475.0
14.8,79.8,21,0,8057.0
20.0,62.6,22,0,7409.0
25.2,44.6,23,0,6834.0
29.1,87.7,0,0,6431.0
19.2,74.9,1,0,6246.0
26.5,58.2,2,0,5655.0
19.0,70.9,3,0,5924.0
20.1,53.9,4,0,5795.0
13.7,72.4,5,0,5992.0
17.6,24.1,6,0,6280.0
14.2,44.7,7,0,6995.0
17.2,74.7,8,0,7401.0
33.4,56.3,9,0,8628.0
17.4,63.1,10,0,8428.0
46.1,39.8,11,0,11993.0
28.9,87.7,12,0,9658.0
26.5,77.9,13,0,10066.0
18.1,57.0,14,0,10530.0
30.6,53.9,15,0,10851.0
20.4,75.4,16,0,10174.0
26.0,89.7,17,0,10360.0
45.5,74.3,18,0,12429.0
24.2,92.6,19,0,9404.0
34.2,46.2,20,0,9097.0
19.4,47.7,21,0,8066.0
24.7,42.2,22,1,6047.0
39.2,66.6,23,0,8815.0
20.0,62.6,0,0,6010.0
39.5,57.7,1,0,7888.0
30.7,72.1,2,0,6410.0
20.5,78.5,3,0,5197.0
30.1,37.1,4,0,6086.0
32.8,51.0,5,0,6762.0
30.0,72.3,6,0,6534.0
12.4,53.0,7,0,6702.0
19.2,48.0,8,0,7512.0
23.0,75.3,9,0,7877.0
24.4,40.7,10,0,8578.0
30.0,55.5,11,0,9657.0
26.4,64.9,12,0,10048.0
14.3,51.4,13,0,10186.0
28.0,71.7,14,0,10351.0
29.9,51.5,15,0,10579.0
29.5,81.1,16,0,10338.0
33.6,58.1,17,0,11147.0
31.7,70.1,18,0,10217.0
28.7,71.2,19,0,9531.0
24.4,50.6,20,0,8555.0
11.7,29.2,21,0,7870.0
28.4,65.4,22,0,7529.0
26.7,61.1,23,0,6785.0
27.2,68.3,0,0,6062.0
14.8,56.6,1,0,6285.0
16.4,53.5,2,0,5556.0
33.4,90.1,3,0,6599.0
24.7,37.9,4,0,5850.0
30.5,71.0,5,0,6037.0
25.2,51.4,6,0,6102.0
25.2,55.0,7,0,6740.0
32.5,55.2,8,0,7882.0
20.9,47.9,9,0,8345.0
25.8,68.6,10,0,8581.0
21.3,80.9,11,0,9378.0
21.5,67.1,12,0,9800.0
22.5,61.6,13,0,10131.0
26.8,45.2,14,0,10326.0
21.2,67.8,15,0,10647.0
35.0,92.3,16,0,11210.0
17.8,54.3,17,0,10424.0
23.5,54.4,18,0,9440.0
21.5,51.6,19,0,9356.0
36.6,52.7,20,0,9627.0
26.6,20.0,21,0,7937.0
33.3,66.1,22,0,8186.0
13.1,47.3,23,0,6703.0
27.1,35.8,0,0,6267.0
32.1,71.3,1,0,6262.0
25.7,43.8,2,0,5484.0
33.5,54.9,3,0,6528.0
20.9,82.0,4,0,5688.0
